Chat ID,Chat Message,UNIX Time Stamp,chat_location_context
9610710,"Amenities\
\
    Travel Desk\
    Swimming Pool\
    Laundry\
\
	\
Cuisines\
\
    Chinese\
    Vegetarian\
    Jain Food\
    Only Veg",1415529246,101997:14/12/2014:15/12/2014
9610710," 10 Kms from Station\
Neral <1 Kms from Bus-stand\
Matheran Bus Stand ",1415529230,101997:14/12/2014:15/12/2014
9610644,Could you please be online while i will check and confirm the details ,1415529222,514:16/11/2014:19/11/2014
9610710,"Includes:\
\
Room rent.\
~ Complimentary Breakfast,Lunch,Dinner.",1415529220,101997:14/12/2014:15/12/2014
9609890,<a href='http://www.stayzilla.com/poi.php#search?h/11522/25_12_2014/27_12_2014/main'>link</a>,1415529192,:16/11/2014:19/11/2014
9611042,may I know your check-in/check-out dates pls,1415529188,:04/12/2014:07/12/2014
9609400,what is the lowest price for hotel in Munnar ?,1415529187,82:01/12/2014:03/12/2014
9610894,may I know your check-in/check-out dates pls,1415529182,210:16/11/2014:19/11/2014
9610644,may i know how many adults and children ,1415529152,514:16/11/2014:19/11/2014
9451610,"\
King Regency Hotel - Bangalore X\
Check in: 15/11/2014 Check out: 17/11/2014\
King Suite Room1 Room @ Rs. 1,612/night\
Avg Price per Night*\
Rs. 1,612 ",1415529131,30:15/11/2014:16/11/2014
9609890,extra bed will be provided with extr charge,1415529114,:16/11/2014:19/11/2014
9539328,looking for budget hotel list on sea coast,1415529105,:04/12/2014:07/12/2014
9609890,"\
Elysium Garden Hill Resorts - Munnar X\
Check in: 25/12/2014 Check out: 27/12/2014\
Executive Double2 Rooms @ Rs. 6,850/night\
Avg Price per Night*\
Rs. 6,850 ",1415529099,:16/11/2014:19/11/2014
9610872,we 2 adult +1 child age 14 are planning to stay at mysore near railway station on 05.12.14. pls tell me tariff for one day.,1415529083,24:5/12/2014:6/12/2014
9610894,Hi can u send me the resorts in gokarna next to beach,1415529065,210:16/11/2014:19/11/2014
9606678,Pls send aperfeck link ok in abu hotel in rajasthan,1415529036,200:14/12/2014:15/12/2014
9610710,"\
Ashok Hotel - Matheran X\
Check in: 13/11/2014 Check out: 15/11/2014\
Double Bedded Non A/c1 Room @ Rs. 2,157/night\
Avg Price per Night*\
Rs. 2,157 ",1415529022,101997:14/12/2014:15/12/2014
9610662,"\
Shivalik Hotel And Resort - Kasauli X\
Check in: 19/12/2014 Check out: 21/12/2014\
Deluxe Room1 Room @ Rs. 2,003/night\
Avg Price per Night*\
Rs. 2,003 ",1415528980,:16/11/2014:19/11/2014
9539328,Hi we want accommodation on puri beach from 21st Dec to 25th Dec,1415528969,:04/12/2014:07/12/2014
9610644,may I know your check-in/check-out dates pls,1415528947,514:16/11/2014:19/11/2014
9610644,IM jairaj want to t details of sorya international hotel...,1415528901,514:16/11/2014:19/11/2014
9610710,may i know the exact location ur looking for ,1415528848,101997:14/12/2014:15/12/2014
9610644,Sorya internationl hotel mattupalayam... ,1415528837,514:16/11/2014:19/11/2014
9502944,in your site  conciere it shows payment is 100 percent,1415528836,8:13/11/2014:16/11/2014
9609890,will give you other option in that range sir`,1415528829,:16/11/2014:19/11/2014
9610752,"pavamana, arya nivas,sri prasuna , hotel guru international contact no.",1415528798,942:10/11/2014:11/11/2014
9610710,Check in date is 13th Nov n check out is on 15th morning,1415528777,101997:14/12/2014:15/12/2014
9502944,the confirmation mail send by you shows that  i have to pay 926 rs to hotel,1415528771,8:13/11/2014:16/11/2014
9610752,"\
Hotel Guru International - Mantralayam X\
Check in: 10/11/2014 Check out: 11/11/2014\
Double Non A/c Room1 Room @ Rs. 487/night\
Avg Price per Night*\
Rs. 487 ",1415528761,942:10/11/2014:11/11/2014
9609890,<a href='http://www.stayzilla.com/poi.php#search?h/195105/25_12_2014/27_12_2014/main'>link</a>,1415528739,:16/11/2014:19/11/2014
9610710,may I know your check-in/check-out dates pls,1415528738,101997:14/12/2014:15/12/2014
9610710,Is the rate of Ashok hotel mentioned in your site is for 1 day or for 2 days per couple? ,1415528700,101997:14/12/2014:15/12/2014
9451610,"\
Tulips Resort - Bangalore X\
Check in: 15/11/2014 Check out: 17/11/2014\
Standard Non A/c 1 Room @ Rs. 2,171/night\
Avg Price per Night*\
Rs. 2,171 ",1415528684,30:15/11/2014:16/11/2014
9610784,Could you please be online while i will check and confirm the details ,1415528682,:16/11/2014:19/11/2014
9610582,thank you for providing an opportunity to assist you,1415528672,:01/12/2014:04/12/2014
9610582,i ma forwarding your request to my group booking team ,1415528658,:01/12/2014:04/12/2014
9610724,Check in will be on 25th December 2014 at 6PM and check Out will be on 27th December 2014 at 6AM,1415528652,8:16/11/2014:19/11/2014
9326642,room has been blocked for you for a short time. Kindly go ahead with the booking.,1415528647,168:25/11/2014:27/11/2014
9610662,"\
Hotel Kasauli Woods - Kasauli X\
Check in: 19/12/2014 Check out: 21/12/2014\
3 Bedded Family Suite1 Room @ Rs. 1,402/night\
Avg Price per Night*\
Rs. 1,402 ",1415528639,:16/11/2014:19/11/2014
9610752,may i know your check-in/check-out dates pls,1415528630,942:10/11/2014:11/11/2014
9610752,ineed accomodation at mantralayam for one day ,1415528623,942:10/11/2014:11/11/2014
9609630,infuture if i want to call u can it is possible??,1415528620,84:14/11/2014:15/11/2014
9610784,may i know how many adults and children ,1415528601,:16/11/2014:19/11/2014
9543400,"Includes:\
\
Room rent.\
~ Complimentary Breakfast,lunch and dinner.\
~ Complimentary WiFi.\
\
Checkin Time:\
14:00 Hrs\
Checkout Time:\
12:00 Hrs",1415528587,542:14/11/2014:17/11/2014
9610554,married / Unmarried? Pardon! me for asking b'coz certain hotels have some regulations for Unmarried couples and its our duty to make sure customers are aware of it.,1415528574,23071:01/12/2014:03/12/2014
9609630,glad to be of assistance. The pleasure was all mine.,1415528574,84:14/11/2014:15/11/2014
9543400,"\
Best Western Resort Country Club - Gurgaon X\
Check in: 15/11/2014 Check out: 16/11/2014\
Deluxe A/c Double1 Room @ Rs. 9,742/night\
",1415528573,542:14/11/2014:17/11/2014
9606678,is there anything else that I may assist you with?,1415528568,200:14/12/2014:15/12/2014
9451610,"\
Tulips Resort - Bangalore X\
Check in: 15/11/2014 Check out: 17/11/2014\
Deluxe A/c1 Room @ Rs. 3,908/night\
Avg Price per Night*\
Rs. 3,908 ",1415528564,30:15/11/2014:16/11/2014
9609890,if it is soldout will give you other option,1415528559,:16/11/2014:19/11/2014
9609890,"Now when I am clicking your link again, it is saying me that hotel is sold out",1415528513,:16/11/2014:19/11/2014
9610508,"\
Hotel Navarathna - Pondicherry X\
Check in: 26/12/2014 Check out: 29/12/2014\
Triple Non A/c Room1 Room @ Rs. 943/night\
Extra Bed1 Room @ Rs. 212/night\
Avg Price per Night*\
Rs. 1,155 ",1415528497,150:26/12/2014:29/12/2014
9609400,what is the least price for hotel in Munnar,1415528497,82:01/12/2014:03/12/2014
9610784,may I know your check-in/check-out dates pls,1415528491,:16/11/2014:19/11/2014
9609890,Actually I just lost the link on payment page,1415528489,:16/11/2014:19/11/2014
9610784,"Just want to know if you have any accomidation availability in Annavaram,Andhrapradesh",1415528477,:16/11/2014:19/11/2014
9543400,"So just tell me that... I m looking for luxury resort like westin sohna, pataudi Palace, ",1415528463,542:14/11/2014:17/11/2014
9610042,your contact info (Mobile and eMail) would help me reach out to you with the best options.,1415528461,482:15/11/2014:17/11/2014
9609630,is there anything else that I may assist you with?,1415528444,84:14/11/2014:15/11/2014
9451610,married / Unmarried? Pardon! me for asking b'coz certain hotels have some regulations for Unmarried couples and its our duty to make sure customers are aware of it.,1415528427,30:15/11/2014:16/11/2014
9543400,pataudi palace is not available in your date,1415528425,542:14/11/2014:17/11/2014
9609400,may I know your check-in/check-out dates pls,1415528424,82:01/12/2014:03/12/2014
9543400,I am not looking for such kind of hotels ,1415528414,542:14/11/2014:17/11/2014
9609400,i am looking for booking hotel in munnar,1415528411,82:01/12/2014:03/12/2014
9610042,may I know your check-in/check-out dates pls,1415528406,482:15/11/2014:17/11/2014
9610662,"\
Hotel Kasauli Woods - Kasauli X\
Check in: 19/11/2014 Check out: 21/11/2014\
3 Bedded Family Suite1 Room @ Rs. 1,402/night\
Avg Price per Night*\
Rs. 1,402 ",1415528400,:16/11/2014:19/11/2014
9451610,married / Unmarried? Pardon! me for asking b'coz certain hotels have some regulations for Unmarried couples and its our duty to make sure customers are aware of it.,1415528397,30:15/11/2014:16/11/2014
9609882,is there anything else that I may assist you with?,1415528389,54:15/01/2015:18/01/2015
9543400,"Includes:\
\
Room rent.\
\
Checkin Time:\
10:00 Hrs\
Checkout Time:\
10:00 Hrs",1415528369,542:14/11/2014:17/11/2014
9610724,may I know your check-in/check-out dates pls,1415528366,8:16/11/2014:19/11/2014
9610508,"sorry for the delay, I am checking various options for you",1415528360,150:26/12/2014:29/12/2014
9543400,"\
G Dot Hotel - Gurgaon X\
Check in: 15/11/2014 Check out: 16/11/2014\
Double A/c Room1 Room @ Rs. 1,052/night\
",1415528356,542:14/11/2014:17/11/2014
9609630,concerned person will guide you for the % of payment sir,1415528326,84:14/11/2014:15/11/2014
9543400,Ya it&#39;s 9899829069 and email. Id is rohitrajgaria@gmail.com,1415528324,542:14/11/2014:17/11/2014
9610042,your contact info (Mobile and eMail) would help me reach out to you with the best options.,1415528321,482:15/11/2014:17/11/2014
9609890,Will you confirm me the rooms after the payment?,1415528315,:16/11/2014:19/11/2014
9610662,Could you please be online while i will check and confirm the details ,1415528311,:16/11/2014:19/11/2014
9610582,i have already share with rajni two days before no responce?,1415528289,:01/12/2014:04/12/2014
9610662,may i know how many adults and children ,1415528278,:16/11/2014:19/11/2014
9609890,My checkin date is 25th Dec and checkout date is 27th Dec,1415528274,:16/11/2014:19/11/2014
9543400,your contact info (Mobile and eMail) would help me reach out to you with the best options.,1415528271,542:14/11/2014:17/11/2014
9610042,"may I know your budget per night and type of rooms that you are looking for, a/c or non ac",1415528261,482:15/11/2014:17/11/2014
9543400,We. Need a gud room.. So whatever.. A as of now no ac required due to season.,1415528258,542:14/11/2014:17/11/2014
9606678,ronak i hope i gave the answers for your queries for hotel accommodation,1415528249,200:14/12/2014:15/12/2014
9610042,they are france and married but 69 years old.  ,1415528245,482:15/11/2014:17/11/2014
9610724,Hey I am looking to book rooms in srisailam,1415528230,8:16/11/2014:19/11/2014
9609630,wt money will pay at present to block the rooms,1415528225,84:14/11/2014:15/11/2014
9610114,thank you for providing an opportunity to assist you,1415528224,515837:14/12/2014:15/12/2014
9543400,pataudi Palace is not available in your date,1415528212,542:14/11/2014:17/11/2014
9451610,I am looking for  two night stay in a resort near bangalore,1415528211,30:15/11/2014:16/11/2014
9610106,may I know your check-in/check-out dates ,1415528196,:04/12/2014:07/12/2014
9610628,may I know your check-in/check-out dates pls,1415528175,:01/12/2014:04/12/2014
9610042,married / Unmarried? Pardon! me for asking b'coz certain hotels have some regulations for Unmarried couples and its our duty to make sure customers are aware of it.,1415528172,482:15/11/2014:17/11/2014
9610582,"since your requirement is for a group booking, pls provide me your contact number and email address, I will check with the hotel and revert back to you at the earliest possible.",1415528163,:01/12/2014:04/12/2014
9451610,may I know your check-in/check-out dates pls,1415528152,30:15/11/2014:16/11/2014
9610042,may I know the total number of adults & children pls,1415528139,482:15/11/2014:17/11/2014
9610582,may I know the total number of adults & children pls,1415528133,:01/12/2014:04/12/2014
9610628,one lady shilaja was wroking in jaladhama office,1415528114,:01/12/2014:04/12/2014
9610114,"Includes:\
\
Room rent.\
~ Complimentary Breakfast.\
~ Complimentary Wifi.\
~ Complimentary Airport pickup and drop.\
~ Complimentary Tea and coffee makers in room.\
\
Checkin Time:\
12:00 Hrs\
Checkout Time:\
12:00 Hrs",1415528108,515837:14/12/2014:15/12/2014
9610508,meanwhile can i have your contact info (Mobile and eMail) would help me reach out to you with the best options.,1415528105,150:26/12/2014:29/12/2014
9610114,"\
The S47 Hotel - Indore X\
Check in: 16/12/2014 Check out: 17/12/2014\
Executive A/c Double1 Room @ Rs. 3,256/night\
",1415528094,515837:14/12/2014:15/12/2014
9600480,may I know your check-in/check-out dates ,1415528081,516123:13/12/2014:14/12/2014
9610042,"so please sir, give me good price for both palce ",1415528062,482:15/11/2014:17/11/2014
9610508,"may I know your budget per night and type of rooms that you are looking for, a/c or non ac",1415528021,150:26/12/2014:29/12/2014
9610508,may I know the total number of adults & children pls,1415528008,150:26/12/2014:29/12/2014
9609630,"Hotel Kanpur DeluxeRs. 497   Details |\
Book 93/149, Mool Ganj Chauraha, Nai Sarak,Kanpur,208001",1415527989,84:14/11/2014:15/11/2014
9610478,"\
Prince Tower - Mayiladuthurai X\
Check in: 9/11/2014 Check out: 10/11/2014\
Double Non A/c Room2 Rooms @ Rs. 1,810/night\
Family Suite Non A/c2 Rooms @ Rs. 2,940/night\
Extra Bed2 Rooms @ Rs. 742/night\
Avg Price per Night*\
Rs. 5,492 ",1415527963,632:14/12/2014:15/12/2014
9610508,may I know your check-in/check-out dates pls,1415527955,150:26/12/2014:29/12/2014
9610042,dear can u offer me special rate for me ,1415527910,482:15/11/2014:17/11/2014
9610560,Todayevenin check in  2mrw afternoon out,1415527898,148:16/11/2014:19/11/2014
9606678,plz confirm me which one you are prefering sir,1415527883,200:14/12/2014:15/12/2014
9610554,I want to know good resort to near hyderabad,1415527882,23071:01/12/2014:03/12/2014
9610560,may I know your check-in/check-out dates pls,1415527872,148:16/11/2014:19/11/2014
9605734,i will check with the hotel and call u sir,1415527870,308:10/11/2014:11/11/2014
9609890,plz mention your checkin and checkout dates,1415527856,:16/11/2014:19/11/2014
9610554,may I know your check-in/check-out dates pls,1415527855,23071:01/12/2014:03/12/2014
9608886,can you suggest some other hotel in JP Nagar in the same range,1415527849,:04/12/2014:07/12/2014
9609890,plz mention in additional requirementsafter adding 4 adults,1415527843,:16/11/2014:19/11/2014
9610134,thank you for providing an opportunity to assist you,1415527827,386:28/11/2014:30/11/2014
9606678,which one you are prefering from two options,1415527810,200:14/12/2014:15/12/2014
9610478,Today eve check in and tomorrow afternoon checkout,1415527788,632:14/12/2014:15/12/2014
9610478,may I know your check-in/check-out dates pls,1415527738,632:14/12/2014:15/12/2014
9610478,I need tarif for prince hotel in mayiladuthurai,1415527735,632:14/12/2014:15/12/2014
9606678,for many customers i suggested this hotel,1415527733,200:14/12/2014:15/12/2014
9609890,i clould not add extra bed. only 2 adults option is giving,1415527721,:16/11/2014:19/11/2014
9605734,sorry sir before booking online we cannot give the hotel contact no,1415527710,308:10/11/2014:11/11/2014
9543400,married / Unmarried? Pardon! me for asking b'coz certain hotels have some regulations for Unmarried couples and its our duty to make sure customers are aware of it.,1415527677,542:14/11/2014:17/11/2014
9609630,through mail you will get the details fof hotel sir,1415527673,84:14/11/2014:15/11/2014
9610114,is there anything else that I may assist you with?,1415527671,515837:14/12/2014:15/12/2014
9610114,"Includes:\
\
Room rent.\
\
Checkin Time:\
09:00 Hrs\
Checkout Time:\
09:00 Hrs",1415527669,515837:14/12/2014:15/12/2014
9610114,"\
Utsav Resort - Indore X\
Check in: 16/12/2014 Check out: 17/12/2014\
Double A/c Room1 Room @ Rs. 2,857/night\
",1415527655,515837:14/12/2014:15/12/2014
9608886,married / Unmarried? Pardon! me for asking b'coz certain hotels have some regulations for Unmarried couples and its our duty to make sure customers are aware of it.,1415527654,:04/12/2014:07/12/2014
9605734,please contct number provide me sapna hotel ,1415527651,308:10/11/2014:11/11/2014
9543400,may I know the total number of adults & children pls,1415527637,542:14/11/2014:17/11/2014
9609630,but u have not tell me 2 kms area name where is hotel,1415527620,84:14/11/2014:15/11/2014
9326642,any idea.. difference between the A/C Deluxe double and standard double a/c,1415527582,168:25/11/2014:27/11/2014
9609630,will send you the payment link through mail,1415527574,84:14/11/2014:15/11/2014
9609630,pls confirm pymt option which time we will pay till now or after arrive in hotel,1415527543,84:14/11/2014:15/11/2014
9605734,"\
Sapna Hotel - Gurgaon X\
Check in: 11/11/2014 Check out: 12/11/2014\
Double Non A/c Room1 Room @ Rs. 389/night\
Avg Price per Night*\
Rs. 389 ",1415527539,308:10/11/2014:11/11/2014
9606678,<a href='http://www.stayzilla.com/poi.php#search?h/15172/18_12_2014/22_12_2014/main'>link</a>,1415527533,200:14/12/2014:15/12/2014
9451610,may I know your check-in/check-out dates pls,1415527530,30:15/11/2014:16/11/2014
9326642,"Click on the pink color plus sign straight to the room category once\
Then Click next in that window \
Fill your Details \
Give Instant Checkout .\
Enter 10%\
that will directed to the payment page ,\
 from there u can proceed with the payment \
\
This is the procedure to book a room",1415527503,168:25/11/2014:27/11/2014
9543400,may I know your check-in/check-out dates pls,1415527500,542:14/11/2014:17/11/2014
9610134,married / Unmarried? Pardon! me for asking b'coz certain hotels have some regulations for Unmarried couples and its our duty to make sure customers are aware of it.,1415527494,386:28/11/2014:30/11/2014
9609890,if you have any doubts plz call me 044 40289919,1415527483,:16/11/2014:19/11/2014
9543400,I am looking to book pataudi Palace in gurgaon for a night ,1415527480,542:14/11/2014:17/11/2014
9326642,"Please click this <a href='http://stayzilla.com/poi.php#search?h/10140/8_12_2014/10_12_2014/main'>link</a>\
",1415527478,168:25/11/2014:27/11/2014
9609890,close the pop-up window and click on (+) again to add more rooms / extra bed,1415527469,:16/11/2014:19/11/2014
9609890,click on the (+) symbol next to the room name to add to cart,1415527467,:16/11/2014:19/11/2014
9610114,"may I know your budget per night and type of rooms that you are looking for, a/c or non ac",1415527464,515837:14/12/2014:15/12/2014
9609890,<a href='http://www.stayzilla.com/poi.php#search?h/195105/25_12_2014/27_12_2014/main'>link</a>,1415527456,:16/11/2014:19/11/2014
9609630,can i proceed with first option for your booking,1415527426,84:14/11/2014:15/11/2014
9610114,may I know the total number of adults & children pls,1415527424,515837:14/12/2014:15/12/2014
9609630,how i will book it &amp; payment pls advice,1415527416,84:14/11/2014:15/11/2014
9597776,thank you for providing an opportunity to assist you,1415527404,60:04/12/2014:07/12/2014
9609890,"email id is lipi12@gmail.com, contact number 9743203240",1415527392,:16/11/2014:19/11/2014
9608886,may I know your check-in/check-out dates pls,1415527348,:04/12/2014:07/12/2014
9608886,i want to book for grand continent bangalore,1415527338,:04/12/2014:07/12/2014
9609890,yes. will the booking be confirmed for the hotel?,1415527337,:16/11/2014:19/11/2014
9606678,plz confirm me which one you are prefering,1415527333,200:14/12/2014:15/12/2014
9542234,pleae call if room not available then wwe discuss,1415527319,:04/12/2014:07/12/2014
9610140,may I know your check-in/check-out dates pls,1415527286,:16/11/2014:19/11/2014
9542234,if any issue arrange 26 th at JMS and 27 at Tirunelveli,1415527268,:04/12/2014:07/12/2014
9326642,may i know which hotel are u looking to book for which dates sir,1415527259,168:25/11/2014:27/11/2014
9609630,"2 kms which are, can u tell me name so that we can manage taxi from sttion??",1415527250,84:14/11/2014:15/11/2014
9606678,"\
Hotel Chandrawati Palace - Mount Abu X\
Check in: 18/12/2014 Check out: 22/12/2014\
Deluxe Double1 Room @ Rs. 1,538/night\
Avg Price per Night*\
Rs. 1,538 ",1415527238,200:14/12/2014:15/12/2014
9326642,"http://www.stayzilla.com/#search?p/13.6287557_79.41917949999993/8_12_2014/9_1_2015/Tirupati, Andhra Pradesh, India_lid/Tirupati, Andhra Pradesh, India/main",1415527222,168:25/11/2014:27/11/2014
9568886,sorry mam near to Marathalli budget rooms are not available,1415527215,30:14/11/2014:15/11/2014
9610134,may I know the total number of adults & children pls,1415527210,386:28/11/2014:30/11/2014
9609882,letb me check with the hotel person sir ,1415527181,54:15/01/2015:18/01/2015
9609630,all low budegt hotels are 2 kms from railway station,1415527163,84:14/11/2014:15/11/2014
9609630,"\
Hotel Mayfair - Kanpur X\
Check in: 14/11/2014 Check out: 15/11/2014\
Luxury Single1 Room @ Rs. 1,188/night\
Avg Price per Night*\
Rs. 1,188 ",1415527147,84:14/11/2014:15/11/2014
9542234,i just check and confirmed with the hotel person ,1415527127,:04/12/2014:07/12/2014
9610140,three star hotel in vapi in reasonabl rate.Ashwin deshpande,1415527102,:16/11/2014:19/11/2014
9610134,may I know your check-in/check-out dates pls,1415527101,386:28/11/2014:30/11/2014
9518614,"\
Please click this <a href='http://stayzilla.com/poi.php#search?h/438/6_12_2014/7_12_2014/main'>link</a>\
",1415527099,438:07/12/2014:08/12/2014
9609650,thank you for providing an opportunity to assist you,1415527077,:04/12/2014:07/12/2014
9609650,"i am forwarding your request to my reservation team.\
 they will check & confirm then forward you the payment link in your email id.\
 now you can pay 10% amount for confirm booking.\
\
",1415527074,:04/12/2014:07/12/2014
9609890,extra bed will be provided with extra cost,1415527061,:16/11/2014:19/11/2014
9609890,"\
The Wind - Munnar X\
Check in: 25/12/2014 Check out: 27/12/2014\
Cliff Cottages2 Rooms @ Rs. 6,590/night\
Avg Price per Night*\
Rs. 6,590 ",1415527046,:16/11/2014:19/11/2014
9605734,"\
Hotel Shyam Palace Inn - Gurgaon X\
Check in: 11/11/2014 Check out: 12/11/2014\
Double Non A/c Room1 Room @ Rs. 885/night\
Avg Price per Night*\
Rs. 885 ",1415527034,308:10/11/2014:11/11/2014
9542234,"sir, give me some time sir , we will get back to u by tomorrow sir ",1415527017,:04/12/2014:07/12/2014
9608696,thank you for providing an opportunity to assist you,1415527008,:04/12/2014:07/12/2014
9600480,i want to know to know the rates of hotel shanti surbhi,1415527006,516123:13/12/2014:14/12/2014
9518614,"Joji : Avion Lake View Resort - Lonavala X Check in: 6/12/2014 Check out: 7/12/2014 Deluxe A/c Double1 Room @ Rs. 3,130/night ",1415527006,438:07/12/2014:08/12/2014
9605734,"\
Avion Lake View Resort - Lonavala X\
Check in: 6/12/2014 Check out: 7/12/2014\
Deluxe A/c Double1 Room @ Rs. 3,130/night\
",1415526995,308:10/11/2014:11/11/2014
9609734,may I know your check-in/check-out dates ,1415526986,:01/12/2014:04/12/2014
9597776,all details available in your confirmation reciept sir,1415526947,60:04/12/2014:07/12/2014
9609930,"fine. pls send me the details about trip to manali, hotels and best fare to the following mail id secas_karan@rediffmail.com. trip could be around december 3rd 4th week. tnk u",1415526911,62:01/12/2014:03/12/2014
9609882,9987119216 myemail:irshadkhan332@gmail.com,1415526862,54:15/01/2015:18/01/2015
9609650,"k, but i want some where near temple in walkable distance",1415526830,:04/12/2014:07/12/2014
9518614,Is Avion hotel or retreat heritage is available on 6th december ,1415526809,438:07/12/2014:08/12/2014
9568886,"o:4/20,Mathikere,1st Main Road ADB Building,Gokula 1st Stage,1st Phase,Opp. Old Post ",1415526797,30:14/11/2014:15/11/2014
9609882,"may I know your budget per night and type of rooms that you are looking for, a/c or non ac",1415526740,54:15/01/2015:18/01/2015
9609930,we also like to know about the hotels for staying there!,1415526734,62:01/12/2014:03/12/2014
9609650,"\
Guruteertha Lodge - Mantralayam X\
Check in: 11/11/2014 Check out: 12/11/2014\
4 Bedded Room2 Rooms @ Rs. 1,364/night\
Extra Bed1 Room @ Rs. 106/night\
Avg Price per Night*\
Rs. 1,470 ",1415526712,:04/12/2014:07/12/2014
9609560,i looking for a job in hotel &amp; restaurant histry. do u have any link?,1415526646,:04/12/2014:07/12/2014
9609882,my self irshad chek in at15jan&amp;check out is at18jan,1415526643,54:15/01/2015:18/01/2015
9609930,"hi we are from salem, tamilnadu. we would like to know which could be possible shortest way through train to manali",1415526639,62:01/12/2014:03/12/2014
9609890,okay plz be in online let me check and mail id plz,1415526614,:16/11/2014:19/11/2014
9609882,may I know your check-in/check-out dates pls,1415526588,54:15/01/2015:18/01/2015
9609630,shall i block the rooms in that hotel sir,1415526588,84:14/11/2014:15/11/2014
9609630,sorry sir without confirmation of booking am not able to send you the hotel number,1415526577,84:14/11/2014:15/11/2014
9609882,respt sir/madam iwant2 book hotel at15jan till18jan2015 wht will be tariff incl tax tell me total amount,1415526564,54:15/01/2015:18/01/2015
